serial,Distance,Date,Time,Day,Day_type,SpclOccasions,Target
0,22,2020-05-17,23:49:00,Sunday,Holiday,Null,LOCK
0,36,2020-05-17,11:31:00,Sunday,Holiday,Null,LOCK
0,20,2020-05-17,15:41:00,Sunday,Holiday,Null,UNLOCK
0,25,2020-05-17,09:17:00,Sunday,Holiday,Null,LOCK
0,12,2020-05-17,14:48:00,Sunday,Holiday,Null,UNLOCK
1,10,2020-05-17,14:48:00,Sunday,Holiday,Null,UNLOCK
1,26,2020-05-16,13:51:00,Saturday,Holiday,Null,LOCK
1,35,2020-05-16,01:52:00,Saturday,Holiday,Null,LOCK
2,14,2020-05-16,01:52:00,Saturday,Holiday,Null,LOCK
2,17,2020-05-15,03:21:00,Friday,workingDay,Null,LOCK
2,48,2020-05-15,03:48:00,Friday,workingDay,Null,LOCK
3,36,2020-05-15,03:48:00,Friday,workingDay,Null,LOCK
3,49,2020-05-14,08:28:00,Thursday,workingDay,Null,LOCK
3,15,2020-05-14,07:37:00,Thursday,workingDay,Null,UNLOCK
3,19,2020-05-14,22:04:00,Thursday,workingDay,Null,LOCK
3,17,2020-05-14,06:56:00,Thursday,workingDay,Null,LOCK
4,42,2020-05-14,06:56:00,Thursday,workingDay,Null,LOCK
4,15,2020-05-13,23:24:00,Wednesday,workingDay,Null,LOCK
4,20,2020-05-13,00:34:00,Wednesday,workingDay,Null,LOCK
5,37,2020-05-13,00:34:00,Wednesday,workingDay,Null,LOCK
5,33,2020-05-12,20:44:00,Tuesday,workingDay,Null,LOCK
5,19,2020-05-12,14:19:00,Tuesday,workingDay,Null,UNLOCK
5,20,2020-05-12,04:18:00,Tuesday,workingDay,Null,LOCK
5,20,2020-05-12,00:04:00,Tuesday,workingDay,Null,LOCK
6,24,2020-05-12,00:04:00,Tuesday,workingDay,Null,LOCK
6,15,2020-05-11,12:14:00,Monday,workingDay,Null,UNLOCK
6,40,2020-05-11,09:52:00,Monday,workingDay,Null,LOCK
6,26,2020-05-11,21:50:00,Monday,workingDay,Null,LOCK
6,20,2020-05-11,00:25:00,Monday,workingDay,Null,LOCK
7,9,2020-05-11,00:25:00,Monday,workingDay,Null,LOCK
8,36,2020-05-10,00:25:00,Sunday,Holiday,Null,LOCK
9,14,2020-05-09,00:25:00,Saturday,Holiday,Null,LOCK
10,30,2020-05-08,00:25:00,Friday,Holiday,May Day,LOCK
10,50,2020-05-07,04:46:00,Thursday,workingDay,Null,LOCK
10,25,2020-05-07,13:09:00,Thursday,workingDay,Null,LOCK
10,33,2020-05-07,12:41:00,Thursday,workingDay,Null,LOCK
11,40,2020-05-07,12:41:00,Thursday,workingDay,Null,LOCK
11,28,2020-05-06,05:11:00,Wednesday,workingDay,Null,LOCK
11,28,2020-05-06,20:56:00,Wednesday,workingDay,Null,LOCK
11,19,2020-05-06,02:42:00,Wednesday,workingDay,Null,LOCK
11,46,2020-05-06,17:00:00,Wednesday,workingDay,Null,LOCK
12,24,2020-05-06,17:00:00,Wednesday,workingDay,Null,LOCK
12,26,2020-05-05,15:29:00,Tuesday,workingDay,Null,LOCK
12,25,2020-05-05,14:57:00,Tuesday,workingDay,Null,LOCK
12,6,2020-05-05,12:22:00,Tuesday,workingDay,Null,UNLOCK
12,16,2020-05-05,05:08:00,Tuesday,workingDay,Null,LOCK
13,34,2020-05-05,05:08:00,Tuesday,workingDay,Null,LOCK
13,29,2020-05-04,14:48:00,Monday,workingDay,Null,LOCK
13,22,2020-05-04,04:19:00,Monday,workingDay,Null,LOCK
13,41,2020-05-04,18:30:00,Monday,workingDay,Null,LOCK
13,30,2020-05-04,16:13:00,Monday,workingDay,Null,LOCK
14,8,2020-05-04,16:13:00,Monday,workingDay,Null,LOCK
14,26,2020-05-03,21:07:00,Sunday,Holiday,Null,LOCK
14,48,2020-05-03,00:31:00,Sunday,Holiday,Null,LOCK
15,11,2020-05-03,00:31:00,Sunday,Holiday,Null,LOCK
